
2025/04/11 (22:42:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/12 (01:29:00) | ===> btop++ v.1.4.0
2025/04/12 (01:29:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/12 (02:25:23) | ===> btop++ v.1.4.0
2025/04/12 (02:25:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/13 (19:47:32) | ===> btop++ v.1.4.0
2025/04/13 (19:47:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/13 (19:49:04) | ===> btop++ v.1.4.0
2025/04/13 (19:49:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/15 (00:29:19) | ===> btop++ v.1.4.0
2025/04/15 (00:29:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (13:54:00) | ===> btop++ v.1.4.0
2025/04/16 (13:54:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (14:52:37) | ===> btop++ v.1.4.0
2025/04/16 (14:52:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (16:45:10) | ===> btop++ v.1.4.0
2025/04/16 (16:45:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (16:52:53) | ===> btop++ v.1.4.0
2025/04/16 (16:52:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (17:06:02) | ===> btop++ v.1.4.0
2025/04/16 (17:06:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/16 (23:06:31) | ===> btop++ v.1.4.0
2025/04/16 (23:06:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/17 (02:11:08) | ===> btop++ v.1.4.0
2025/04/17 (02:11:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/22 (02:41:22) | ===> btop++ v.1.4.0
2025/04/22 (02:41:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/23 (00:06:03) | ===> btop++ v.1.4.0
2025/04/23 (00:06:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
